population,msa,gender,edu,race
104280,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Graduate or professional degree,HISPANIC OR LATINO
81641,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,"9th to 12th grade, no diploma",HISPANIC OR LATINO
106898,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Less than 9th grade,HISPANIC OR LATINO
401,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Bachelor's degree or higher,AMERICAN INDIAN AND ALASKA NATIVE ALONE
2132,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Some college or associate's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
939,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Less than high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
1053,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,High school graduate (includes equivalency),AMERICAN INDIAN AND ALASKA NATIVE ALONE
1258,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,High school graduate (includes equivalency),AMERICAN INDIAN AND ALASKA NATIVE ALONE
2551,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Less than high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,"Some college, no degree",NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Associate's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Regular high school diploma,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,GED or alternative credential,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Less than 9th grade,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,"9th to 12th grade, no diploma",NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Graduate or professional degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
2267,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Some college or associate's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
1019,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Bachelor's degree or higher,AMERICAN INDIAN AND ALASKA NATIVE ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Bachelor's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Graduate or professional degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,"9th to 12th grade, no diploma",NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Regular high school diploma,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Less than 9th grade,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Associate's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Bachelor's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,GED or alternative credential,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,"Some college, no degree",NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
29039,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Less than high school diploma,"WHITE ALONE, NOT HISPANIC OR LATINO"
146025,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,High school graduate (includes equivalency),"WHITE ALONE, NOT HISPANIC OR LATINO"
28565,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Less than high school diploma,"WHITE ALONE, NOT HISPANIC OR LATINO"
170997,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Some college or associate's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
134916,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,High school graduate (includes equivalency),"WHITE ALONE, NOT HISPANIC OR LATINO"
326897,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Male,Bachelor's degree or higher,"WHITE ALONE, NOT HISPANIC OR LATINO"
312018,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Bachelor's degree or higher,"WHITE ALONE, NOT HISPANIC OR LATINO"
181441,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Female,Some college or associate's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
198103,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,WHITE ALONE
28387,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,WHITE ALONE
271883,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree",WHITE ALONE
117172,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,WHITE ALONE
257953,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,WHITE ALONE
168193,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,WHITE ALONE
155198,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Graduate or professional degree,WHITE ALONE
1092030,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,WHITE ALONE
18686,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than 9th grade,WHITE ALONE
31653,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"9th to 12th grade, no diploma",WHITE ALONE
1055651,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,WHITE ALONE
19775,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than 9th grade,WHITE ALONE
43933,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"9th to 12th grade, no diploma",WHITE ALONE
177446,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Regular high school diploma,WHITE ALONE
43456,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,GED or alternative credential,WHITE ALONE
244196,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"Some college, no degree",WHITE ALONE
98242,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Associate's degree,WHITE ALONE
273405,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree,WHITE ALONE
2147681,"Phoenix-Mesa-Chandler, AZ Metro Area",,,WHITE ALONE
16837,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Some college or associate's degree,ASIAN ALONE
41477,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree or higher,ASIAN ALONE
9343,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than high school diploma,ASIAN ALONE
10182,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,High school graduate (includes equivalency),ASIAN ALONE
44747,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree or higher,ASIAN ALONE
77839,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,ASIAN ALONE
8035,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,High school graduate (includes equivalency),ASIAN ALONE
12139,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Some college or associate's degree,ASIAN ALONE
68462,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,ASIAN ALONE
3541,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than high school diploma,ASIAN ALONE
146301,"Phoenix-Mesa-Chandler, AZ Metro Area",,,ASIAN ALONE
9835,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,SOME OTHER RACE ALONE
18139,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,SOME OTHER RACE ALONE
6612,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,SOME OTHER RACE ALONE
15661,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"9th to 12th grade, no diploma",SOME OTHER RACE ALONE
33964,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,SOME OTHER RACE ALONE
8105,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,SOME OTHER RACE ALONE
28050,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree",SOME OTHER RACE ALONE
6075,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Graduate or professional degree,SOME OTHER RACE ALONE
141289,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,SOME OTHER RACE ALONE
20923,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than 9th grade,SOME OTHER RACE ALONE
14560,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree,SOME OTHER RACE ALONE
33442,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Regular high school diploma,SOME OTHER RACE ALONE
9490,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,GED or alternative credential,SOME OTHER RACE ALONE
24388,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"Some college, no degree",SOME OTHER RACE ALONE
11121,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Associate's degree,SOME OTHER RACE ALONE
284654,"Phoenix-Mesa-Chandler, AZ Metro Area",,,SOME OTHER RACE ALONE
143365,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,SOME OTHER RACE ALONE
21929,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than 9th grade,SOME OTHER RACE ALONE
22360,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"9th to 12th grade, no diploma",SOME OTHER RACE ALONE
130018,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Some college or associate's degree,HISPANIC OR LATINO
80021,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree or higher,HISPANIC OR LATINO
443764,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,HISPANIC OR LATINO
884511,"Phoenix-Mesa-Chandler, AZ Metro Area",,,HISPANIC OR LATINO
65310,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree or higher,HISPANIC OR LATINO
118782,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Some college or associate's degree,HISPANIC OR LATINO
132338,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,High school graduate (includes equivalency),HISPANIC OR LATINO
127334,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than high school diploma,HISPANIC OR LATINO
121074,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,High school graduate (includes equivalency),HISPANIC OR LATINO
109634,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than high school diploma,HISPANIC OR LATINO
440747,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,HISPANIC OR LATINO
87602,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,BLACK OR AFRICAN AMERICAN ALONE
173945,"Phoenix-Mesa-Chandler, AZ Metro Area",,,BLACK OR AFRICAN AMERICAN ALONE
4762,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"9th to 12th grade, no diploma",BLACK OR AFRICAN AMERICAN ALONE
1655,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than 9th grade,BLACK OR AFRICAN AMERICAN ALONE
17150,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree,BLACK OR AFRICAN AMERICAN ALONE
4119,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,GED or alternative credential,BLACK OR AFRICAN AMERICAN ALONE
17352,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Regular high school diploma,BLACK OR AFRICAN AMERICAN ALONE
7848,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Associate's degree,BLACK OR AFRICAN AMERICAN ALONE
26397,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"Some college, no degree",BLACK OR AFRICAN AMERICAN ALONE
16713,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,BLACK OR AFRICAN AMERICAN ALONE
3592,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"9th to 12th grade, no diploma",BLACK OR AFRICAN AMERICAN ALONE
27517,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree",BLACK OR AFRICAN AMERICAN ALONE
1928,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,BLACK OR AFRICAN AMERICAN ALONE
8319,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Graduate or professional degree,BLACK OR AFRICAN AMERICAN ALONE
1214,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than 9th grade,BLACK OR AFRICAN AMERICAN ALONE
86343,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,BLACK OR AFRICAN AMERICAN ALONE
14997,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,BLACK OR AFRICAN AMERICAN ALONE
7471,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,BLACK OR AFRICAN AMERICAN ALONE
12911,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,BLACK OR AFRICAN AMERICAN ALONE
12651,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,GED or alternative credential,TWO OR MORE RACES
56575,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"Some college, no degree",TWO OR MORE RACES
33309,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"9th to 12th grade, no diploma",TWO OR MORE RACES
61139,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Regular high school diploma,TWO OR MORE RACES
21639,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Associate's degree,TWO OR MORE RACES
36152,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree,TWO OR MORE RACES
269459,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,TWO OR MORE RACES
33044,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than 9th grade,TWO OR MORE RACES
538527,"Phoenix-Mesa-Chandler, AZ Metro Area",,,TWO OR MORE RACES
40040,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,TWO OR MORE RACES
21063,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,TWO OR MORE RACES
59949,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree",TWO OR MORE RACES
22100,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,TWO OR MORE RACES
14950,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Graduate or professional degree,TWO OR MORE RACES
269068,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,TWO OR MORE RACES
52930,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,TWO OR MORE RACES
12890,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,TWO OR MORE RACES
31530,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than 9th grade,TWO OR MORE RACES
28566,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"9th to 12th grade, no diploma",TWO OR MORE RACES
775,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree or higher,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
1630,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Some college or associate's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
3810,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
162,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than high school diploma,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
1243,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,High school graduate (includes equivalency),NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
536,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than high school diploma,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
627,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,High school graduate (includes equivalency),NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
694,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Some college or associate's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
872,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree or higher,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
6539,"Phoenix-Mesa-Chandler, AZ Metro Area",,,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
2729,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
389055,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Some college or associate's degree,WHITE ALONE
220902,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,High school graduate (includes equivalency),WHITE ALONE
63708,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than high school diploma,WHITE ALONE
428603,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree or higher,WHITE ALONE
342438,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Some college or associate's degree,WHITE ALONE
50339,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than high school diploma,WHITE ALONE
226490,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,High school graduate (includes equivalency),WHITE ALONE
37885,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Some college or associate's degree,SOME OTHER RACE ALONE
24751,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree or higher,SOME OTHER RACE ALONE
36584,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than high school diploma,SOME OTHER RACE ALONE
42069,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,High school graduate (includes equivalency),SOME OTHER RACE ALONE
20635,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree or higher,SOME OTHER RACE ALONE
42932,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,High school graduate (includes equivalency),SOME OTHER RACE ALONE
35509,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Some college or associate's degree,SOME OTHER RACE ALONE
44289,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than high school diploma,SOME OTHER RACE ALONE
426146,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree or higher,WHITE ALONE
33924,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,AMERICAN INDIAN AND ALASKA NATIVE ALONE
1241,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Graduate or professional degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
2190,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than 9th grade,AMERICAN INDIAN AND ALASKA NATIVE ALONE
29504,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,AMERICAN INDIAN AND ALASKA NATIVE ALONE
63428,"Phoenix-Mesa-Chandler, AZ Metro Area",,,AMERICAN INDIAN AND ALASKA NATIVE ALONE
7882,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"Some college, no degree",AMERICAN INDIAN AND ALASKA NATIVE ALONE
2292,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,GED or alternative credential,AMERICAN INDIAN AND ALASKA NATIVE ALONE
7073,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Regular high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
4484,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"9th to 12th grade, no diploma",AMERICAN INDIAN AND ALASKA NATIVE ALONE
1944,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
2398,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Associate's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
1756,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,AMERICAN INDIAN AND ALASKA NATIVE ALONE
8384,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
3398,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"9th to 12th grade, no diploma",AMERICAN INDIAN AND ALASKA NATIVE ALONE
2014,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than 9th grade,AMERICAN INDIAN AND ALASKA NATIVE ALONE
1715,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
3950,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
3564,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
9143,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree",AMERICAN INDIAN AND ALASKA NATIVE ALONE
160778,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
37819,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,GED or alternative credential,"WHITE ALONE, NOT HISPANIC OR LATINO"
158458,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Regular high school diploma,"WHITE ALONE, NOT HISPANIC OR LATINO"
33736,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"9th to 12th grade, no diploma","WHITE ALONE, NOT HISPANIC OR LATINO"
12788,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than 9th grade,"WHITE ALONE, NOT HISPANIC OR LATINO"
973721,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,,"WHITE ALONE, NOT HISPANIC OR LATINO"
1987216,"Phoenix-Mesa-Chandler, AZ Metro Area",,,"WHITE ALONE, NOT HISPANIC OR LATINO"
150448,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Graduate or professional degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
249004,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
108897,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
251995,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree","WHITE ALONE, NOT HISPANIC OR LATINO"
24129,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,"WHITE ALONE, NOT HISPANIC OR LATINO"
182165,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,"WHITE ALONE, NOT HISPANIC OR LATINO"
25512,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"9th to 12th grade, no diploma","WHITE ALONE, NOT HISPANIC OR LATINO"
11015,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than 9th grade,"WHITE ALONE, NOT HISPANIC OR LATINO"
1013495,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,,"WHITE ALONE, NOT HISPANIC OR LATINO"
263549,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
91164,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Associate's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
225759,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"Some college, no degree","WHITE ALONE, NOT HISPANIC OR LATINO"
23244,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Graduate or professional degree,ASIAN ALONE
4917,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than 9th grade,ASIAN ALONE
9018,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,ASIAN ALONE
4426,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"9th to 12th grade, no diploma",ASIAN ALONE
9244,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree",ASIAN ALONE
1164,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,ASIAN ALONE
21500,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,ASIAN ALONE
7593,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,ASIAN ALONE
19977,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,ASIAN ALONE
1057,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"9th to 12th grade, no diploma",ASIAN ALONE
2484,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than 9th grade,ASIAN ALONE
1371,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,GED or alternative credential,ASIAN ALONE
6664,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Regular high school diploma,ASIAN ALONE
4711,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Associate's degree,ASIAN ALONE
7428,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,"Some college, no degree",ASIAN ALONE
21503,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree,ASIAN ALONE
27908,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree or higher,BLACK OR AFRICAN AMERICAN ALONE
34988,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Some college or associate's degree,BLACK OR AFRICAN AMERICAN ALONE
34245,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Some college or associate's degree,BLACK OR AFRICAN AMERICAN ALONE
21471,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,High school graduate (includes equivalency),BLACK OR AFRICAN AMERICAN ALONE
6417,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Less than high school diploma,BLACK OR AFRICAN AMERICAN ALONE
18641,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,High school graduate (includes equivalency),BLACK OR AFRICAN AMERICAN ALONE
4806,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Less than high school diploma,BLACK OR AFRICAN AMERICAN ALONE
25469,"Phoenix-Mesa-Chandler, AZ Metro Area",Male,Bachelor's degree or higher,BLACK OR AFRICAN AMERICAN ALONE
27629,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Graduate or professional degree,HISPANIC OR LATINO
52392,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Bachelor's degree,HISPANIC OR LATINO
23918,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,GED or alternative credential,HISPANIC OR LATINO
97156,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Regular high school diploma,HISPANIC OR LATINO
35783,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,Associate's degree,HISPANIC OR LATINO
94235,"Phoenix-Mesa-Chandler, AZ Metro Area",Female,"Some college, no degree",HISPANIC OR LATINO
