population,msa,gender,edu,race
425143,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree or higher,HISPANIC OR LATINO
1561898,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,,HISPANIC OR LATINO
3207719,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,HISPANIC OR LATINO
325440,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree or higher,HISPANIC OR LATINO
350680,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Some college or associate's degree,HISPANIC OR LATINO
472289,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,High school graduate (includes equivalency),HISPANIC OR LATINO
413489,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than high school diploma,HISPANIC OR LATINO
431807,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,High school graduate (includes equivalency),HISPANIC OR LATINO
404574,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,HISPANIC OR LATINO
1645821,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,HISPANIC OR LATINO
970365,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,,BLACK OR AFRICAN AMERICAN ALONE
2159940,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,BLACK OR AFRICAN AMERICAN ALONE
74293,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"9th to 12th grade, no diploma",BLACK OR AFRICAN AMERICAN ALONE
44676,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than 9th grade,BLACK OR AFRICAN AMERICAN ALONE
173928,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree,BLACK OR AFRICAN AMERICAN ALONE
60962,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,GED or alternative credential,BLACK OR AFRICAN AMERICAN ALONE
257086,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Regular high school diploma,BLACK OR AFRICAN AMERICAN ALONE
77415,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Associate's degree,BLACK OR AFRICAN AMERICAN ALONE
200004,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"Some college, no degree",BLACK OR AFRICAN AMERICAN ALONE
270203,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,BLACK OR AFRICAN AMERICAN ALONE
86600,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma",BLACK OR AFRICAN AMERICAN ALONE
232810,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree",BLACK OR AFRICAN AMERICAN ALONE
57111,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,BLACK OR AFRICAN AMERICAN ALONE
82001,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,BLACK OR AFRICAN AMERICAN ALONE
57988,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,BLACK OR AFRICAN AMERICAN ALONE
1189575,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,BLACK OR AFRICAN AMERICAN ALONE
214464,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree,BLACK OR AFRICAN AMERICAN ALONE
111123,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,BLACK OR AFRICAN AMERICAN ALONE
